action,score,retailer,scraped_name,scraped_price,matched_name,matched_slug,matched_category,product_url
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 7500F (3.7 GHz / 5.0 GHz) Tray",1649.00,"",,,https://www.ultrapc.ma/socket-am5/8490-amd-ryzen-5-7500f-37-ghz-50-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 8400F (4.2 GHz / 4.7 GHz) Tray",1249.00,"",,,https://www.ultrapc.ma/socket-am5/9838-amd-ryzen-5-8400f-42-ghz-47-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 8400F Wraith Stealth (4.2 GHz / 4.7 GHz)",1999.00,"",,,https://www.ultrapc.ma/socket-am5/7935-amd-ryzen-5-8400f-wraith-stealth-42-ghz-47-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 8500G Wraith Stealth (3.5 GHz / 5.0 GHz)",1749.00,"",,,https://www.ultrapc.ma/socket-am5/7348-amd-ryzen-5-8500g-wraith-stealth-35-ghz-50-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 5 9600X (3.9 GHz / 5.4 GHz)",2599.00,"AMD Ryzen 5 9600X",amd-ryzen-5-9600x,cpu,https://www.ultrapc.ma/socket-am5/8427-amd-ryzen-5-9600x-39-ghz-54-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 5 9600X (3.9 GHz / 5.4 GHz) Tray",2349.00,"AMD Ryzen 5 9600X",amd-ryzen-5-9600x,cpu,https://www.ultrapc.ma/socket-am5/10137-amd-ryzen-5-9600x-39-ghz-54-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 PRO 5655G (3.9 GHz / 4.4 GHz) MPK",1699.00,"",,,https://www.ultrapc.ma/socket-am4/11521-amd-ryzen-5-pro-5655g-39-ghz-44-ghz-mpk.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 5 PRO 7645 (3.8 GHz / 5.1 GHz)",2489.00,"",,,https://www.ultrapc.ma/socket-am5/7351-amd-ryzen-5-pro-7645-38-ghz-51-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 5700G Wraith Stealth (3.8 GHz / 4.6 GHz) BOX",2499.00,"",,,https://www.ultrapc.ma/socket-am4/4621-amd-ryzen-7-5700g-wraith-stealth-38-ghz-46-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 5700G Wraith Stealth (3.8 GHz / 4.6 GHz) Tray",1699.00,"",,,https://www.ultrapc.ma/socket-am4/7658-amd-ryzen-7-5700g-wraith-stealth-38-ghz-46-ghz-tray.html
